Timestamp, CPU Power (mW), GPU Power (mW), ANE Power (mW), Combined Power (mW)
2026-03-04 18:47:33, 348, 23, 0, 372
2026-03-04 18:47:34, 3020, 65, 0, 3086
2026-03-04 18:47:34, 5527, 105, 0, 5632
2026-03-04 18:47:34, 1576, 121, 0, 1697
2026-03-04 18:47:34, 677, 82, 0, 759
2026-03-04 18:47:35, 887, 54, 0, 942
2026-03-04 18:47:35, 2941, 70, 0, 3011
2026-03-04 18:47:35, 2911, 42, 0, 2953
2026-03-04 18:47:35, 494, 15, 0, 509
2026-03-04 18:47:36, 1743, 123, 0, 1866
2026-03-04 18:47:36, 1935, 12, 0, 1947
2026-03-04 18:47:36, 5705, 79, 0, 5784
2026-03-04 18:47:36, 8972, 39, 0, 9011
2026-03-04 18:47:37, 8613, 15, 0, 8629
2026-03-04 18:47:37, 10340, 38, 0, 10379
2026-03-04 18:47:37, 7282, 5607, 0, 12889
2026-03-04 18:47:37, 2643, 7753, 0, 10396
2026-03-04 18:47:38, 3455, 7279, 0, 10734
2026-03-04 18:47:38, 3805, 7748, 0, 11553
2026-03-04 18:47:38, 2532, 8095, 0, 10626
2026-03-04 18:47:38, 1454, 7867, 0, 9321
2026-03-04 18:47:39, 4912, 7666, 0, 12578
2026-03-04 18:47:39, 2038, 7952, 0, 9990
2026-03-04 18:47:39, 1669, 8019, 0, 9688
2026-03-04 18:47:39, 1998, 7645, 0, 9643
2026-03-04 18:47:40, 1885, 8126, 0, 10011
2026-03-04 18:47:40, 9545, 7096, 0, 16641
2026-03-04 18:47:40, 6987, 7672, 0, 14659
2026-03-04 18:47:40, 6444, 7362, 0, 13807
2026-03-04 18:47:41, 8223, 5982, 0, 14205
2026-03-04 18:47:41, 10212, 7621, 0, 17833
2026-03-04 18:47:41, 11038, 7969, 0, 19007
2026-03-04 18:47:42, 3999, 7833, 0, 11832
2026-03-04 18:47:42, 2315, 7708, 0, 10022
2026-03-04 18:47:42, 3923, 7923, 0, 11846
2026-03-04 18:47:42, 2583, 7870, 0, 10452
2026-03-04 18:47:43, 2025, 8034, 0, 10059
2026-03-04 18:47:43, 3329, 7862, 0, 11191
2026-03-04 18:47:43, 2010, 7940, 0, 9951
2026-03-04 18:47:43, 3610, 7783, 0, 11392
2026-03-04 18:47:44, 1978, 7960, 0, 9938
2026-03-04 18:47:44, 1779, 7859, 0, 9638
2026-03-04 18:47:44, 2880, 7123, 0, 10003
2026-03-04 18:47:44, 1905, 7937, 0, 9842
2026-03-04 18:47:45, 1749, 7961, 0, 9710
2026-03-04 18:47:45, 1968, 8072, 0, 10040
2026-03-04 18:47:45, 1881, 7857, 0, 9738
2026-03-04 18:47:45, 2129, 8121, 0, 10250
2026-03-04 18:47:46, 3272, 7872, 0, 11144
2026-03-04 18:47:46, 2156, 7693, 0, 9849
2026-03-04 18:47:46, 3653, 7947, 0, 11600
2026-03-04 18:47:46, 2964, 7924, 0, 10887
2026-03-04 18:47:47, 6410, 8077, 0, 14487
2026-03-04 18:47:47, 2592, 8023, 0, 10615
2026-03-04 18:47:47, 2390, 7979, 0, 10368
2026-03-04 18:47:47, 4110, 7109, 0, 11219
2026-03-04 18:47:48, 3295, 321, 0, 3616
2026-03-04 18:47:48, 1304, 35, 0, 1339
2026-03-04 18:47:48, 2048, 16, 0, 2064
2026-03-04 18:47:48, 1440, 16, 0, 1456
