Timestamp, CPU Power (mW), GPU Power (mW), ANE Power (mW), Combined Power (mW)
2026-02-28 17:52:31, 615, 28, 0, 643
2026-02-28 17:52:32, 957, 41, 0, 997
2026-02-28 17:52:33, 1371, 119, 0, 1490
2026-02-28 17:52:34, 3544, 28, 0, 3571
2026-02-28 17:52:35, 5693, 139, 0, 5833
2026-02-28 17:52:36, 4573, 26, 0, 4598
2026-02-28 17:52:37, 4805, 28, 0, 4833
2026-02-28 17:52:38, 4626, 25, 0, 4651
2026-02-28 17:52:39, 4004, 126, 0, 4130
2026-02-28 17:52:40, 1495, 206, 0, 1700
2026-02-28 17:52:41, 673, 8, 0, 681
2026-02-28 17:52:42, 565, 16, 0, 581
2026-02-28 17:52:43, 535, 5, 0, 540
2026-02-28 17:52:44, 960, 26, 0, 986
2026-02-28 17:52:45, 1046, 34, 0, 1080
