Timestamp, CPU Power (mW), GPU Power (mW), ANE Power (mW), Combined Power (mW)
2026-03-02 22:10:14, 90, 27, 0, 116
2026-03-02 22:10:15, 1477, 81, 0, 1557
2026-03-02 22:10:16, 309, 9, 0, 318
2026-03-02 22:10:17, 3602, 18, 0, 3620
2026-03-02 22:10:18, 4907, 114, 0, 5021
2026-03-02 22:10:19, 3932, 25, 0, 3956
2026-03-02 22:10:20, 3868, 28, 0, 3896
2026-03-02 22:10:21, 3870, 25, 0, 3894
2026-03-02 22:10:22, 2255, 24, 0, 2279
2026-03-02 22:10:23, 86, 30, 0, 115
2026-03-02 22:10:24, 147, 25, 0, 172
2026-03-02 22:10:25, 69, 29, 0, 98
2026-03-02 22:10:26, 168, 25, 0, 192
2026-03-02 22:10:27, 150, 29, 0, 178
2026-03-02 22:10:28, 212, 24, 0, 236
