Timestamp, CPU Power (mW), GPU Power (mW), ANE Power (mW), Combined Power (mW)
2026-03-04 18:49:38, 4165, 31, 0, 4196
2026-03-04 18:49:38, 4764, 27, 0, 4791
2026-03-04 18:49:38, 6014, 16, 0, 6029
2026-03-04 18:49:39, 4577, 12, 0, 4588
2026-03-04 18:49:39, 4387, 12, 0, 4399
2026-03-04 18:49:39, 4290, 12, 0, 4302
2026-03-04 18:49:39, 4339, 12, 0, 4351
2026-03-04 18:49:40, 4500, 12, 0, 4512
2026-03-04 18:49:40, 4476, 12, 0, 4488
2026-03-04 18:49:40, 4976, 12, 0, 4988
2026-03-04 18:49:40, 4427, 12, 0, 4439
2026-03-04 18:49:41, 4427, 12, 0, 4438
2026-03-04 18:49:41, 4738, 12, 0, 4750
2026-03-04 18:49:41, 4477, 12, 0, 4489
2026-03-04 18:49:41, 2771, 255, 0, 3025
2026-03-04 18:49:42, 2871, 210, 0, 3081
2026-03-04 18:49:42, 4218, 16, 0, 4234
2026-03-04 18:49:42, 4192, 31, 0, 4224
2026-03-04 18:49:42, 399, 12, 0, 411
2026-03-04 18:49:43, 332, 15, 0, 348
2026-03-04 18:49:43, 337, 11, 0, 349
2026-03-04 18:49:43, 911, 15, 0, 926
2026-03-04 18:49:43, 450, 12, 0, 462
2026-03-04 18:49:44, 357, 12, 0, 368
2026-03-04 18:49:44, 464, 12, 0, 476
2026-03-04 18:49:44, 808, 12, 0, 819
2026-03-04 18:49:44, 641, 12, 0, 653
2026-03-04 18:49:45, 364, 12, 0, 376
2026-03-04 18:49:45, 355, 12, 0, 367
2026-03-04 18:49:45, 366, 12, 0, 378
