Timestamp, CPU Power (mW), GPU Power (mW), ANE Power (mW), Combined Power (mW)
2026-03-04 18:22:24, 854, 43, 0, 897
2026-03-04 18:22:25, 382, 39, 0, 420
2026-03-04 18:22:25, 482, 27, 0, 509
2026-03-04 18:22:25, 681, 30, 0, 711
2026-03-04 18:22:25, 2452, 54, 0, 2506
2026-03-04 18:22:26, 191, 11, 0, 202
2026-03-04 18:22:26, 828, 26, 0, 854
2026-03-04 18:22:26, 1513, 11, 0, 1525
2026-03-04 18:22:26, 944, 11, 0, 956
2026-03-04 18:22:27, 2148, 11, 0, 2160
2026-03-04 18:22:27, 2342, 23, 0, 2365
2026-03-04 18:22:27, 2318, 11, 0, 2330
2026-03-04 18:22:28, 2814, 12, 0, 2826
2026-03-04 18:22:28, 3650, 11, 0, 3662
2026-03-04 18:22:28, 3917, 12, 0, 3928
2026-03-04 18:22:28, 4671, 11, 0, 4682
2026-03-04 18:22:29, 4632, 11, 0, 4644
2026-03-04 18:22:29, 4563, 12, 0, 4575
2026-03-04 18:22:29, 4618, 11, 0, 4629
2026-03-04 18:22:29, 3868, 12, 0, 3880
2026-03-04 18:22:30, 3103, 67, 0, 3170
2026-03-04 18:22:30, 3301, 43, 0, 3344
2026-03-04 18:22:30, 3419, 31, 0, 3450
2026-03-04 18:22:30, 498, 19, 0, 517
2026-03-04 18:22:31, 241, 11, 0, 252
2026-03-04 18:22:31, 309, 11, 0, 320
2026-03-04 18:22:31, 209, 27, 0, 235
2026-03-04 18:22:31, 895, 11, 0, 907
2026-03-04 18:22:32, 923, 23, 0, 946
2026-03-04 18:22:32, 2457, 12, 0, 2469
