scale_factor,query,metal_gpu_ms,mps_gpu_ms,speedup
SF-1,Q1,17.23,52.479,3.045792222867092
SF-1,Q12,2.65,106.529,40.199622641509436
SF-1,Q14,1.23,5.324,4.328455284552845
SF-1,Q3,3.97,13.835,3.4848866498740554
SF-1,Q5,1.55,15.282,9.859354838709677
SF-1,Q6,1.38,2.883,2.089130434782609
SF-1,Q9,17.08,10.562,0.618384074941452
SF-10,Q1,135.11,518.106,3.8346976537635995
SF-10,Q12,13.07,1037.899,79.41078806426931
SF-10,Q14,7.23,65.7,9.08713692946058
SF-10,Q3,31.03,126.821,4.087044795359329
SF-10,Q5,13.67,151.343,11.071177761521579
SF-10,Q6,9.46,18.156,1.9192389006342492
SF-10,Q9,297.65,153.663,0.5162539895850832
