timestamp,scale_factor,query,gpu_exec_ms,cpu_post_ms,total_exec_ms,gpu_name,memory_gb
20260528_183530,SF-1,Q1,17.23,0.00,17.23,Apple M1,8
20260528_183530,SF-1,Q2,0.14,0.25,0.38,Apple M1,8
20260528_183530,SF-1,Q3,3.67,0.40,4.06,Apple M1,8
20260528_183530,SF-1,Q4,2.92,0.00,2.92,Apple M1,8
20260528_183530,SF-1,Q5,1.27,0.03,1.30,Apple M1,8
20260528_183530,SF-1,Q6,1.38,0.00,1.38,Apple M1,8
20260528_183530,SF-1,Q7,1.95,0.01,1.96,Apple M1,8
20260528_183530,SF-1,Q8,2.64,0.01,2.65,Apple M1,8
20260528_183530,SF-1,Q9,16.77,0.32,17.10,Apple M1,8
20260528_183530,SF-1,Q10,1.26,0.51,1.77,Apple M1,8
20260528_183530,SF-1,Q11,0.24,0.18,0.42,Apple M1,8
20260528_183530,SF-1,Q12,2.65,0.00,2.65,Apple M1,8
20260528_183530,SF-1,Q13,19.20,0.19,19.40,Apple M1,8
20260528_183530,SF-1,Q14,1.23,0.00,1.23,Apple M1,8
20260528_183530,SF-1,Q15,0.95,0.03,0.98,Apple M1,8
20260528_183530,SF-1,Q16,1.37,4.16,5.53,Apple M1,8
20260528_183530,SF-1,Q17,3.93,0.00,3.93,Apple M1,8
20260528_183530,SF-1,Q18,4.44,0.15,4.59,Apple M1,8
20260528_183530,SF-1,Q19,5.02,0.00,5.02,Apple M1,8
20260528_183530,SF-1,Q20,0.91,0.28,1.18,Apple M1,8
20260528_183530,SF-1,Q21,6.64,0.33,6.97,Apple M1,8
20260528_183530,SF-1,Q22,3.88,0.01,3.89,Apple M1,8
20260528_184521,SF-10,Q1,135.11,0.27,135.38,Apple M1,8
20260528_184521,SF-10,Q2,1.68,3.52,5.21,Apple M1,8
20260528_184521,SF-10,Q3,30.52,0.56,31.07,Apple M1,8
20260528_184521,SF-10,Q4,18.94,0.00,18.94,Apple M1,8
20260528_184521,SF-10,Q5,15.74,0.60,16.34,Apple M1,8
20260528_184521,SF-10,Q6,9.46,0.00,9.46,Apple M1,8
20260528_184521,SF-10,Q7,20.51,0.02,20.53,Apple M1,8
20260528_184521,SF-10,Q8,16.43,0.02,16.46,Apple M1,8
20260528_184521,SF-10,Q9,286.90,8.01,294.91,Apple M1,8
20260528_184521,SF-10,Q10,15.47,4.88,20.35,Apple M1,8
20260528_184521,SF-10,Q11,2.21,0.70,2.91,Apple M1,8
20260528_184521,SF-10,Q12,13.07,0.00,13.07,Apple M1,8
20260528_184521,SF-10,Q13,210.54,0.28,210.83,Apple M1,8
20260528_184521,SF-10,Q14,7.23,0.00,7.23,Apple M1,8
20260528_184521,SF-10,Q15,8.51,0.66,9.17,Apple M1,8
20260528_184521,SF-10,Q16,13.86,6.43,20.29,Apple M1,8
20260528_184521,SF-10,Q17,16.54,0.00,16.54,Apple M1,8
20260528_184521,SF-10,Q18,19.37,5.01,24.38,Apple M1,8
20260528_184521,SF-10,Q19,50.57,0.00,50.57,Apple M1,8
20260528_184521,SF-10,Q20,10.67,5.73,16.40,Apple M1,8
20260528_184521,SF-10,Q21,55.74,3.15,58.89,Apple M1,8
20260528_184521,SF-10,Q22,29.88,0.01,29.88,Apple M1,8
