timestamp,scale_factor,query,gpu_exec_ms,cpu_post_ms,total_exec_ms,gpu_name,memory_gb
2026-05-24T21:08:31,SF-1,Q6,5.648,0.000,5.648,Apple M1,5.3
2026-05-24T21:08:32,SF-1,Q14,6.233,0.001,6.234,Apple M1,5.3
2026-05-24T21:08:34,SF-1,Q1,54.736,0.022,54.758,Apple M1,5.3
2026-05-24T21:08:36,SF-1,Q12,105.224,0.002,105.226,Apple M1,5.3
2026-05-24T21:09:05,SF-10,Q6,17.090,0.000,17.090,Apple M1,5.3
2026-05-24T21:09:25,SF-10,Q14,123.516,0.005,123.521,Apple M1,5.3
2026-05-24T21:09:50,SF-10,Q1,545.780,0.067,545.847,Apple M1,5.3
2026-05-24T21:10:18,SF-10,Q12,1048.553,0.043,1048.597,Apple M1,5.3
2026-05-28T09:55:17,SF-1,Q6,2.883,0.000,2.883,Apple M1,5.3
2026-05-28T09:55:18,SF-1,Q14,5.324,0.001,5.324,Apple M1,5.3
2026-05-28T09:55:20,SF-1,Q1,52.479,0.036,52.515,Apple M1,5.3
2026-05-28T09:55:22,SF-1,Q12,106.529,0.001,106.530,Apple M1,5.3
2026-05-28T09:56:05,SF-10,Q6,18.156,0.000,18.156,Apple M1,5.3
2026-05-28T09:56:20,SF-10,Q14,65.700,0.001,65.700,Apple M1,5.3
2026-05-28T09:56:36,SF-10,Q1,518.106,0.038,518.144,Apple M1,5.3
2026-05-28T09:56:59,SF-10,Q12,1037.899,0.031,1037.930,Apple M1,5.3
2026-05-28T19:51:36,SF-1,Q3,13.835,0.600,14.435,Apple M1,5.3
2026-05-28T19:51:46,SF-1,Q5,15.282,0.044,15.326,Apple M1,5.3
2026-05-28T19:51:53,SF-1,Q9,10.562,0.082,10.644,Apple M1,5.3
2026-05-28T19:53:04,SF-10,Q3,126.821,6.350,133.171,Apple M1,5.3
2026-05-28T19:53:19,SF-10,Q5,151.343,0.354,151.696,Apple M1,5.3
2026-05-28T19:53:41,SF-10,Q9,153.663,0.408,154.071,Apple M1,5.3
2026-07-10T19:33:11,SF-1,Q4,3.099,0.004,3.104,Apple M1,5.3
2026-07-10T19:33:38,SF-10,Q4,18.561,0.013,18.574,Apple M1,5.3
2026-07-12T18:48:48,SF-1,Q7,18.866,0.011,18.877,Apple M1,5.3
2026-07-12T18:50:11,SF-10,Q7,177.665,0.020,177.685,Apple M1,5.3
